question,answer,false_answer
What general name is given to a rotating star which emits a regular beat of radiation?,Yukon Optics; PULSAR; Beltex Optics,Pulsating Quasar
"Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?","Ruddigore; Ruddygore; RUDDIGORE; Ruddigore, The Witch's Curse; Rudigore",The Enchanted Sorceress
Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Jim Laker; JIM LAKER; James Laker,Geoffrey Boycott
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Farthing (coin); Farthing; Farthing (disambiguation); Farthing coin; Farthings,A Kid for Two Farthings
Who is the patron saint of dancers?,"St Vitus; Saint Guy; Vitus (saint); Sts. Vitus, Modestus, and Crescentia; St. Vito; Vitus; Modestus, Vitus, and Crescentia; Crescentia, Modestus, and Vitus, Saints; Vitus, Modestus and Crescentia; Monastery of St. Vito; Saint Vito; St. Vitus; S Vito; Saint Crescentia; Modestus, Vitus, and Crescentia, Saints; Crescentia, Modestus, and Vitus; Vít; Saint Vitus Day; Vitus, Modestus, and Crescentia; S. Vito; Saint Vitus",St
"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",Karl Marx and Friedrich Engels,Friedrich Engels and Karl Kautsky
The fortified wine drink Sherry is named after what town?,"Jérez de la Frontera; Jerez, Spain; Jerez de la Frontera (Cádiz); Jerez de la Frontera, Cadiz; Jérez de la Frontera, Spain; Xeres de la Frontera; Jerez de la Frontera; Emirate of jerez; Jerez de la Frontera, Spain; Xeres (Jerez) de la Frontera; Emirate of Jerez; Jerez de la Frontera, Cádiz; Xeres; Jeréz de la Frontera; Jerez; History of Jerez de la Frontera",Sherrington
The nickname for Dumfries became the name of which Scottish football club?,The Doonhamers; Queen of the South FC; Queen of The South; QOTSFC; Queen of the South F. C.; Queen of the south fc; Qots; QotSFC; The Mighty Queen of the South; Queen of the South; Queen of the South F C; Queen of the south; QOSFC; Queen of the South F.C.,Dumfries United
The revolutionary group the Sandinistas were active in which country?,"Nicarugua; Nicuragua; Administrative divisions of Nicaragua; Bibliography of nicaragua; Subdivisions of Nicaragua; Health in Nicaragua; Republica De Nicaragua; Etymology of Nicaragua; República de Nicaragua; Sport in Nicaragua; ISO 3166-1:NI; Republic of Nicaragua; The Republic of Nicaragua; Nicaraguan; Nicaragua; Nicaragua, Central America",El Salvador
Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Steve Norris; Steven John Norris; Stephen Norris; Steven Norris,Michael Portillo
"Who said, To err is human but it feels divine?""""","Mae West; Mae west; Is that a gun in your pocket, or are you just happy to see me%3F; When I'm Bad, I'm Better; Jane Mast; When I'm good, I'm very good...; Mae West filmography",Oscar Wilde
"When Mr Benn was looking for an adventure, what type of shop did he visit?",A fancy dress shop,A magic shop
What was made and repaired by a Wainwright?,Wagon; Circus wagon; Wagon (vehicle); Front axle assembly; Delivery wagon; Horse-drawn wagon; Wagons; Farm wagon; Waggon,Wagons
"The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?",Administrative divisions of Paraguay; Culture of Paraguay; Paraguayans; Paraguayan literature; Culture of paraguay; Paragauy; Teta Paraguai; Etymology of Paraguay; Paraguayan; Tetã Paraguái; Republic of Paraguay; Paraguai; Paruaguayan; Paraguay; Republic Paraguay; ISO 3166-1:PY; Name of Paraguay; República del Paraguay,Paraguay
